service_id,date,exception_type
14,20180320,1
14,20180321,1
14,20180322,1
14,20180323,1
14,20180326,1
14,20180327,1
14,20180328,1
14,20180329,1
14,20180330,1
14,20180402,1
14,20180403,1
14,20180404,1
14,20180405,1
14,20180406,1
14,20180409,1
14,20180410,1
14,20180411,1
14,20180412,1
14,20180413,1
14,20180416,1
14,20180417,1
14,20180418,1
14,20180419,1
14,20180420,1
14,20180423,1
14,20180424,1
14,20180425,1
14,20180426,1
14,20180427,1
14,20180430,1
14,20180501,1
14,20180502,1
14,20180503,1
14,20180504,1
14,20180507,1
14,20180508,1
14,20180509,1
14,20180510,1
14,20180511,1
14,20180514,1
14,20180515,1
14,20180516,1
14,20180517,1
14,20180518,1
14,20180521,1
14,20180522,1
14,20180523,1
14,20180524,1
14,20180525,1
14,20180528,1
14,20180529,1
14,20180530,1
14,20180531,1
14,20180601,1
14,20180604,1
14,20180605,1
14,20180606,1
14,20180607,1
14,20180608,1
14,20180611,1
14,20180612,1
14,20180613,1
14,20180614,1
14,20180615,1
14,20180618,1
14,20180619,1
14,20180620,1
14,20180621,1
14,20180622,1
14,20180625,1
14,20180626,1
14,20180627,1
14,20180628,1
14,20180629,1
14,20180702,1
14,20180703,1
14,20180704,1
14,20180705,1
14,20180706,1
14,20180709,1
14,20180710,1
14,20180711,1
14,20180712,1
14,20180713,1
14,20180716,1
14,20180717,1
14,20180718,1
14,20180719,1
14,20180720,1
14,20180723,1
14,20180724,1
14,20180725,1
14,20180726,1
14,20180727,1
14,20180730,1
14,20180731,1
14,20180801,1
14,20180802,1
14,20180803,1
14,20180806,1
14,20180807,1
14,20180808,1
14,20180809,1
14,20180810,1
14,20180813,1
14,20180814,1
14,20180815,1
14,20180816,1
14,20180817,1
14,20180820,1
14,20180821,1
14,20180822,1
14,20180823,1
14,20180824,1
14,20180827,1
14,20180828,1
14,20180829,1
14,20180830,1
14,20180831,1
14,20180903,1
14,20180904,1
14,20180905,1
14,20180906,1
14,20180907,1
15,20180317,1
16,20180314,1
16,20180315,1
16,20180318,1
16,20180319,1
16,20180320,1
16,20180321,1
16,20180322,1
16,20180325,1
16,20180326,1
16,20180327,1
16,20180328,1
16,20180329,1
16,20180401,1
16,20180402,1
16,20180403,1
16,20180404,1
16,20180405,1
16,20180408,1
16,20180409,1
16,20180410,1
16,20180411,1
16,20180412,1
16,20180415,1
16,20180416,1
16,20180417,1
16,20180418,1
16,20180419,1
16,20180422,1
16,20180423,1
16,20180424,1
16,20180425,1
16,20180426,1
16,20180429,1
16,20180430,1
16,20180501,1
16,20180502,1
16,20180503,1
16,20180506,1
16,20180507,1
16,20180510,1
16,20180513,1
16,20180514,1
16,20180515,1
16,20180516,1
16,20180517,1
16,20180520,1
16,20180521,1
16,20180522,1
16,20180523,1
16,20180524,1
16,20180528,1
16,20180529,1
16,20180530,1
16,20180531,1
17,20180528,1
18,20180525,1
19,20180724,1
20,20180318,1
20,20180324,1
20,20180325,1
20,20180331,1
20,20180401,1
20,20180407,1
20,20180408,1
20,20180414,1
20,20180415,1
20,20180421,1
20,20180422,1
20,20180428,1
20,20180429,1
20,20180505,1
20,20180506,1
20,20180512,1
20,20180513,1
20,20180519,1
20,20180520,1
20,20180526,1
20,20180527,1
20,20180528,1
20,20180602,1
21,20180316,1
21,20180323,1
21,20180330,1
21,20180406,1
21,20180413,1
21,20180420,1
21,20180427,1
21,20180504,1
21,20180511,1
21,20180518,1
21,20180525,1
21,20180601,1
22,20180314,1
22,20180315,1
22,20180319,1
22,20180320,1
22,20180321,1
22,20180322,1
22,20180326,1
22,20180327,1
22,20180328,1
22,20180329,1
22,20180402,1
22,20180403,1
22,20180404,1
22,20180405,1
22,20180409,1
22,20180410,1
22,20180411,1
22,20180412,1
22,20180416,1
22,20180417,1
22,20180418,1
22,20180419,1
22,20180423,1
22,20180424,1
22,20180425,1
22,20180426,1
22,20180430,1
22,20180501,1
22,20180502,1
22,20180503,1
22,20180507,1
22,20180510,1
22,20180514,1
22,20180515,1
22,20180516,1
22,20180517,1
22,20180521,1
22,20180522,1
22,20180523,1
22,20180524,1
22,20180529,1
22,20180530,1
22,20180531,1
23,20180314,1
23,20180315,1
23,20180316,1
23,20180320,1
23,20180321,1
23,20180322,1
23,20180323,1
23,20180327,1
23,20180328,1
23,20180329,1
23,20180330,1
23,20180403,1
23,20180404,1
23,20180405,1
23,20180406,1
23,20180410,1
23,20180411,1
23,20180412,1
23,20180413,1
23,20180417,1
23,20180418,1
23,20180419,1
23,20180420,1
23,20180424,1
23,20180425,1
23,20180426,1
23,20180427,1
23,20180501,1
23,20180502,1
23,20180503,1
23,20180504,1
23,20180510,1
23,20180511,1
23,20180515,1
23,20180516,1
23,20180517,1
23,20180518,1
23,20180522,1
23,20180523,1
23,20180524,1
23,20180525,1
23,20180530,1
23,20180531,1
23,20180601,1
24,20180319,1
24,20180326,1
24,20180402,1
24,20180409,1
24,20180416,1
24,20180423,1
24,20180430,1
24,20180507,1
24,20180514,1
24,20180521,1
24,20180529,1
25,20180314,1
25,20180315,1
25,20180316,1
25,20180319,1
25,20180320,1
25,20180321,1
25,20180322,1
25,20180323,1
25,20180326,1
25,20180327,1
25,20180328,1
25,20180329,1
25,20180330,1
25,20180402,1
25,20180403,1
25,20180404,1
25,20180405,1
25,20180406,1
25,20180409,1
25,20180410,1
25,20180411,1
25,20180412,1
25,20180413,1
25,20180416,1
25,20180417,1
25,20180418,1
25,20180419,1
25,20180420,1
25,20180423,1
25,20180424,1
25,20180425,1
25,20180426,1
25,20180427,1
25,20180430,1
25,20180501,1
25,20180502,1
25,20180503,1
25,20180504,1
25,20180507,1
25,20180510,1
25,20180511,1
25,20180514,1
25,20180515,1
25,20180516,1
25,20180517,1
25,20180518,1
25,20180521,1
25,20180522,1
25,20180523,1
25,20180524,1
25,20180529,1
25,20180530,1
25,20180531,1
25,20180601,1
26,20180505,1
26,20180506,1
26,20180512,1
26,20180513,1
26,20180519,1
26,20180520,1
26,20180526,1
26,20180527,1
26,20180528,1
26,20180602,1
27,20180317,1
27,20180318,1
27,20180324,1
27,20180325,1
27,20180331,1
27,20180401,1
27,20180407,1
27,20180408,1
27,20180414,1
27,20180415,1
27,20180421,1
27,20180422,1
27,20180428,1
27,20180429,1
28,20180526,1
28,20180527,1
28,20180528,1
29,20180314,1
29,20180315,1
29,20180316,1
29,20180319,1
29,20180320,1
29,20180321,1
29,20180322,1
29,20180323,1
29,20180326,1
29,20180327,1
29,20180328,1
29,20180329,1
29,20180330,1
29,20180402,1
29,20180403,1
29,20180404,1
29,20180405,1
29,20180406,1
29,20180409,1
29,20180410,1
29,20180411,1
29,20180412,1
29,20180413,1
29,20180416,1
29,20180417,1
29,20180418,1
29,20180419,1
29,20180420,1
29,20180423,1
29,20180424,1
29,20180425,1
29,20180426,1
29,20180427,1
29,20180430,1
29,20180501,1
29,20180502,1
29,20180503,1
29,20180504,1
29,20180507,1
29,20180510,1
29,20180511,1
29,20180514,1
29,20180515,1
29,20180516,1
29,20180517,1
29,20180518,1
29,20180521,1
29,20180522,1
29,20180523,1
29,20180524,1
29,20180525,1
29,20180529,1
29,20180530,1
29,20180531,1
30,20180316,1
30,20180317,1
30,20180318,1
30,20180323,1
30,20180324,1
30,20180325,1
30,20180330,1
30,20180331,1
30,20180401,1
30,20180406,1
30,20180407,1
30,20180408,1
30,20180413,1
30,20180414,1
30,20180415,1
30,20180420,1
30,20180421,1
30,20180422,1
30,20180427,1
30,20180428,1
30,20180429,1
30,20180504,1
30,20180505,1
30,20180506,1
30,20180511,1
30,20180512,1
30,20180513,1
30,20180518,1
30,20180519,1
30,20180520,1
30,20180525,1
30,20180526,1
30,20180527,1
30,20180528,1
30,20180601,1
31,20180314,1
31,20180315,1
31,20180316,1
31,20180319,1
31,20180320,1
31,20180321,1
31,20180322,1
31,20180323,1
31,20180326,1
31,20180327,1
31,20180328,1
31,20180329,1
31,20180330,1
31,20180402,1
31,20180403,1
31,20180404,1
31,20180405,1
31,20180406,1
31,20180409,1
31,20180410,1
31,20180411,1
31,20180412,1
31,20180413,1
31,20180416,1
31,20180417,1
31,20180418,1
31,20180419,1
31,20180420,1
31,20180423,1
31,20180424,1
31,20180425,1
31,20180426,1
31,20180427,1
31,20180430,1
31,20180501,1
31,20180502,1
31,20180503,1
31,20180504,1
31,20180507,1
31,20180510,1
31,20180511,1
31,20180514,1
31,20180515,1
31,20180516,1
31,20180517,1
31,20180518,1
31,20180521,1
31,20180522,1
31,20180523,1
31,20180524,1
31,20180525,1
31,20180529,1
31,20180530,1
31,20180531,1
31,20180601,1
31,20180604,1
31,20180605,1
31,20180606,1
31,20180607,1
31,20180608,1
31,20180611,1
31,20180612,1
31,20180613,1
31,20180614,1
31,20180615,1
31,20180618,1
31,20180619,1
31,20180620,1
31,20180621,1
31,20180622,1
31,20180625,1
31,20180626,1
31,20180627,1
31,20180628,1
31,20180629,1
31,20180702,1
31,20180703,1
31,20180705,1
31,20180706,1
31,20180709,1
31,20180710,1
31,20180711,1
31,20180712,1
31,20180713,1
31,20180716,1
31,20180717,1
31,20180718,1
31,20180719,1
31,20180720,1
31,20180723,1
31,20180724,1
31,20180725,1
31,20180726,1
31,20180727,1
31,20180730,1
31,20180731,1
31,20180801,1
31,20180802,1
31,20180803,1
31,20180806,1
31,20180807,1
31,20180808,1
31,20180809,1
31,20180810,1
31,20180813,1
31,20180814,1
31,20180815,1
31,20180816,1
31,20180817,1
31,20180820,1
31,20180821,1
31,20180822,1
31,20180823,1
31,20180824,1
31,20180827,1
31,20180828,1
31,20180829,1
31,20180830,1
31,20180831,1
31,20180904,1
31,20180905,1
31,20180906,1
31,20180907,1
